steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
650000,Medium,286400,64471323.0,46733828.0,-38.0,34054834.0,-89.3,27764882.0,-132.2,False
660000,High,293551,114707259.0,117574833.0,2.4,73445545.0,-56.2,59171709.0,-93.9,False
670000,Low,369403,32131509.0,16843686.0,-90.8,5774286.0,-456.5,4263269.0,-653.7,False
680000,Medium,175371,56890260.0,45325150.0,-25.5,33633540.0,-69.1,28624877.0,-98.7,False
690000,High,420432,115173885.0,125721055.0,8.4,83501062.0,-37.9,70334124.0,-63.8,False
700000,Low,199555,44998514.0,12238613.0,-267.7,6981694.0,-544.5,5133072.0,-776.6,False
710000,Medium,62581,50453423.0,49643119.0,-1.6,35540772.0,-42.0,31108721.0,-62.2,False
720000,High,759479,115181044.0,124726048.0,7.7,84222665.0,-36.8,70416256.0,-63.6,False
730000,Low,213523,35618753.0,10999696.0,-223.8,6014683.0,-492.2,5153420.0,-591.2,False
740000,Medium,18613,53577813.0,46448108.0,-15.3,34362769.0,-55.9,29705806.0,-80.4,False
750000,High,15762,115514047.0,123883845.0,6.8,75980915.0,-52.0,60635574.0,-90.5,False
760000,Low,122691,40857523.0,10132395.0,-303.2,3467825.0,-1078.2,3674823.0,-1011.8,False
770000,Medium,310796,85950195.0,44622598.0,-92.6,29563048.0,-190.7,23916795.0,-259.4,False
780000,High,377433,168526941.0,122128164.0,-38.0,79014311.0,-113.3,65756763.0,-156.3,False
790000,Low,734654,17797642.0,14521275.0,-22.6,10111722.0,-76.0,6627260.0,-168.6,False
800000,Medium,514204,34302764.0,47657822.0,28.0,32732489.0,-4.8,26264495.0,-30.6,False
810000,High,419020,161440492.0,125091059.0,-29.1,79901410.0,-102.0,65034029.0,-148.2,False
820000,Low,724397,53930302.0,12621551.0,-327.3,6589922.0,-718.4,4535752.0,-1089.0,False
830000,Medium,819236,42014399.0,47295019.0,11.2,34915249.0,-20.3,29425340.0,-42.8,False
840000,High,265400,103194487.0,127478229.0,19.0,79023048.0,-30.6,65586597.0,-57.3,False
850000,Low,21676,10554037.0,11328086.0,6.8,4093504.0,-157.8,3464983.0,-204.6,False
860000,Medium,330305,45453999.0,53867469.0,15.6,35771215.0,-27.1,29922421.0,-51.9,False
870000,High,831548,84946963.0,128193712.0,33.7,81164333.0,-4.7,67188354.0,-26.4,False
880000,Low,100482,4610858.0,16113575.0,71.4,9599930.0,52.0,4907166.0,6.0,True
890000,Medium,401536,22736720.0,50121539.0,54.6,32234820.0,29.5,24340227.0,6.6,True
900000,High,709950,63699792.0,125669124.0,49.3,79792522.0,20.2,64646548.0,1.5,True
910000,Low,978827,4023032.0,12597540.0,68.1,6786461.0,40.7,4291770.0,6.3,True
920000,Medium,35852,28223961.0,47606536.0,40.7,34368310.0,17.9,29007975.0,2.7,True
930000,High,499320,62807358.0,120223560.0,47.8,80314303.0,21.8,66564264.0,5.6,True
940000,Low,736491,4148359.0,13639390.0,69.6,5838193.0,28.9,4501159.0,7.8,True
950000,Medium,380898,22338671.0,51876683.0,56.9,33499820.0,33.3,25002010.0,10.7,True
960000,High,84549,61700479.0,127915765.0,51.8,77951491.0,20.8,63426548.0,2.7,True
970000,Low,670420,5595757.0,16440355.0,66.0,7023038.0,20.3,4084988.0,-37.0,False
980000,Medium,962003,24724723.0,46459390.0,46.8,33670304.0,26.6,26856846.0,7.9,True
990000,High,273486,61564711.0,125698773.0,51.0,79629210.0,22.7,64333986.0,4.3,True
1000000,Low,673727,5707298.0,16495002.0,65.4,8510832.0,32.9,6707126.0,14.9,True
