model,scenario,seed,total_wait,arrived,switches
ck1170000,Low,123,39050847.0,697,118
ck1150000,High,42,175550352.0,1669,286
ck1150000,High,123,171648740.0,1760,269
ck1170000,Medium,42,103591911.0,1040,229
ck1170000,Medium,123,92142272.0,988,207
ck1190000,Low,42,57737441.0,680,147
ck1190000,Low,123,35160845.0,655,119
ck1190000,Medium,123,108277303.0,985,273
ck1170000,High,42,204861272.0,1712,427
ck1190000,Medium,42,115290677.0,1103,270
ck1170000,High,123,205739039.0,1760,420
ck1210000,Low,42,41970744.0,679,138
ck1210000,Low,123,26100149.0,687,116
ck1210000,Medium,42,79710435.0,1090,195
ck1210000,Medium,123,71311080.0,983,187
ck1190000,High,42,238180858.0,1751,548
ck1190000,High,123,228359182.0,1712,527
ck1230000,Low,42,40918285.0,728,99
ck1230000,Low,123,37829769.0,687,112
ck1230000,Medium,42,59954989.0,1111,110
ck1230000,Medium,123,58504744.0,1000,101
ck1210000,High,123,175047683.0,1754,324
ck1210000,High,42,169887236.0,1759,292
ck1250000,Low,42,9929361.0,683,88
ck1250000,Low,123,8442384.0,701,93
ck1250000,Medium,123,15849724.0,1061,77
ck1250000,Medium,42,18349407.0,1073,72
ck1230000,High,123,121009004.0,1715,148
ck1230000,High,42,118388499.0,1765,141
ck1270000,Low,123,3857337.0,683,60
ck1270000,Low,42,4109577.0,690,59
ck1270000,Medium,42,28983200.0,1080,67
ck1270000,Medium,123,20747623.0,1060,68
ck1250000,High,42,67804909.0,1788,105
ck1250000,High,123,59515439.0,1714,92
ck1290000,Low,42,8106692.0,676,90
ck1290000,Low,123,7451587.0,660,98
ck1270000,High,123,59341293.0,1681,92
ck1270000,High,42,65730201.0,1739,93
ck1290000,Medium,123,16056702.0,970,72
ck1290000,Medium,42,19118862.0,1085,72
ck1310000,Low,42,4234087.0,678,58
ck1310000,Low,123,3755008.0,643,59
ck1310000,Medium,123,21858745.0,1028,66
ck1310000,Medium,42,28983200.0,1080,67
ck1290000,High,123,60188162.0,1677,98
ck1290000,High,42,67804909.0,1788,105
ck1330000,Low,42,4204093.0,677,60
ck1330000,Low,123,3755008.0,643,59
ck1310000,High,123,59341293.0,1681,92
ck1310000,High,42,65730201.0,1739,93
ck1330000,Medium,123,21858745.0,1028,66
ck1330000,Medium,42,28983200.0,1080,67
ck1350000,Low,42,4199272.0,710,69
ck1350000,Low,123,3658498.0,690,67
ck1350000,Medium,123,20253006.0,1052,68
ck1350000,Medium,42,28368436.0,1083,68
ck1330000,High,123,59341293.0,1681,92
ck1330000,High,42,65730201.0,1739,93
ck1370000,Low,123,46583067.0,696,116
ck1370000,Low,42,51157006.0,664,122
ck1350000,High,123,59515439.0,1714,92
ck1370000,Medium,42,58402856.0,1056,119
ck1350000,High,42,65616180.0,1712,94
ck1370000,Medium,123,56159380.0,1023,116
ck1390000,Low,42,15281890.0,724,115
ck1390000,Low,123,13248406.0,665,107
ck1390000,Medium,123,40587547.0,983,137
ck1390000,Medium,42,43628026.0,1061,128
ck1370000,High,123,112788138.0,1725,176
ck1370000,High,42,121642697.0,1790,180
ck1410000,Low,123,37039188.0,678,115
ck1410000,Low,42,45273835.0,685,127
ck1410000,Medium,123,24597353.0,1013,102
ck1410000,Medium,42,37982388.0,1054,109
ck1390000,High,123,117632105.0,1759,158
ck1390000,High,42,134380770.0,1756,167
ck1430000,Low,42,48647817.0,682,131
ck1430000,Low,123,45270299.0,642,131
ck1430000,Medium,42,49035799.0,1109,146
ck1430000,Medium,123,46892908.0,1022,138
ck1410000,High,42,89299038.0,1724,150
ck1410000,High,123,92065090.0,1712,154
ck1450000,Low,42,52343731.0,730,128
ck1450000,Low,123,49763397.0,681,119
ck1450000,Medium,123,74124862.0,992,152
ck1450000,Medium,42,74460098.0,1089,154
ck1430000,High,123,105394183.0,1760,219
ck1430000,High,42,107529827.0,1725,222
ck1470000,Low,123,49228075.0,677,117
ck1470000,Low,42,53610684.0,692,131
ck1470000,Medium,123,68413941.0,1015,147
ck1470000,Medium,42,74460098.0,1089,154
ck1450000,High,123,177852515.0,1699,300
ck1450000,High,42,180818565.0,1815,293
ck1490000,Low,123,49135499.0,649,125
ck1490000,Low,42,53956289.0,714,135
ck1490000,Medium,123,60694309.0,1013,140
ck1490000,Medium,42,68284351.0,1100,155
ck1470000,High,123,177852515.0,1699,300
ck1470000,High,42,180818565.0,1815,293
ck1510000,Low,123,49332825.0,671,122
ck1510000,Low,42,51501418.0,725,126
ck1510000,Medium,123,66226105.0,1019,143
ck1510000,Medium,42,69507444.0,1046,147
ck1490000,High,123,188950422.0,1679,340
ck1530000,Low,42,4942645.0,690,88
ck1530000,Low,123,5300063.0,697,83
ck1530000,Medium,123,15068407.0,1007,81
ck1530000,Medium,42,19530661.0,1037,75
ck1510000,High,123,168544797.0,1697,264
ck1510000,High,42,171687198.0,1762,257
ck1490000,High,42,929319646.0,1497,486
ck1550000,Low,42,4921724.0,692,82
ck1550000,Low,123,4223517.0,671,85
ck1550000,Medium,42,18896771.0,1088,77
ck1530000,High,123,60759473.0,1719,111
ck1530000,High,42,75954598.0,1758,135
ck1550000,Medium,123,15001902.0,995,79
ck1570000,Low,42,4325059.0,719,79
ck1570000,Low,123,4215241.0,675,79
ck1550000,High,42,75954598.0,1758,135
ck1550000,High,123,66676991.0,1679,119
ck1570000,Medium,123,16105998.0,966,81
ck1570000,Medium,42,18896771.0,1088,77
ck1590000,Low,42,55369327.0,663,136
ck1590000,Low,123,46929748.0,686,113
ck1570000,High,123,66676991.0,1679,119
ck1590000,Medium,42,69373520.0,1065,158
ck1570000,High,42,75954598.0,1758,135
ck1590000,Medium,123,70424596.0,1015,161
ck1610000,Low,42,51245551.0,704,119
ck1610000,Low,123,50582468.0,699,123
ck1610000,Medium,42,39061861.0,1041,89
ck1590000,High,123,106883653.0,1724,131
ck1590000,High,42,117468430.0,1801,136
ck1610000,Medium,123,45353249.0,986,117
ck1630000,Low,42,51164839.0,713,117
ck1630000,Low,123,48666403.0,693,119
ck1630000,Medium,123,26046706.0,997,104
ck1630000,Medium,42,39157393.0,1112,91
ck1610000,High,123,92071323.0,1774,145
ck1610000,High,42,91920294.0,1758,130
ck1650000,Low,123,48666403.0,693,119
ck1650000,Low,42,53737871.0,708,134
ck1650000,Medium,42,45704428.0,1089,98
ck1630000,High,42,83523721.0,1695,136
ck1630000,High,123,72510713.0,1775,112
ck1650000,Medium,123,17229668.0,986,80
ck1670000,Low,42,4204093.0,677,60
ck1670000,Low,123,3755008.0,643,59
ck1650000,High,42,84529826.0,1693,125
ck1670000,Medium,123,21858745.0,1028,66
ck1650000,High,123,96125767.0,1734,119
ck1670000,Medium,42,28983200.0,1080,67
ck1690000,Low,42,4234087.0,678,58
ck1690000,Low,123,3755008.0,643,59
ck1690000,Medium,123,21858745.0,1028,66
ck1690000,Medium,42,28983200.0,1080,67
ck1670000,High,42,65730201.0,1739,93
ck1670000,High,123,59341293.0,1681,92
ck1710000,Low,123,3755008.0,643,59
ck1710000,Low,42,4234087.0,678,58
ck1710000,Medium,42,28983200.0,1080,67
ck1710000,Medium,123,21858745.0,1028,66
ck1690000,High,123,59341293.0,1681,92
ck1690000,High,42,65730201.0,1739,93
ck1730000,Low,42,4109577.0,690,59
ck1730000,Low,123,3774095.0,651,61
ck1710000,High,42,65730201.0,1739,93
ck1710000,High,123,59341293.0,1681,92
ck1730000,Medium,123,20747623.0,1060,68
ck1730000,Medium,42,28368436.0,1083,68
ck1750000,Low,42,5221282.0,707,67
ck1750000,Low,123,3658498.0,690,67
ck1750000,Medium,42,28368436.0,1083,68
ck1750000,Medium,123,20747623.0,1060,68
ck1730000,High,123,59341293.0,1681,92
ck1730000,High,42,65730201.0,1739,93
ck1770000,Low,42,4109577.0,690,59
ck1770000,Low,123,3774095.0,651,61
ck1770000,Medium,123,20747623.0,1060,68
ck1750000,High,42,63582294.0,1720,93
ck1750000,High,123,59515439.0,1714,92
ck1770000,Medium,42,28368436.0,1083,68
ck1790000,Low,42,39018640.0,690,100
