steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
1230000,High,119698751.5,130514182.0,8.3,82248234.5,-45.5,64791811.5,-84.7
1250000,High,63660174.0,130514182.0,51.2,82248234.5,22.6,64791811.5,1.7
1270000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1290000,High,63996535.5,130514182.0,51.0,82248234.5,22.2,64791811.5,1.2
1310000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1330000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1350000,High,62565809.5,130514182.0,52.1,82248234.5,23.9,64791811.5,3.4
1370000,High,117215417.5,130514182.0,10.2,82248234.5,-42.5,64791811.5,-80.9
1390000,High,126006437.5,130514182.0,3.5,82248234.5,-53.2,64791811.5,-94.5
1410000,High,90682064.0,130514182.0,30.5,82248234.5,-10.3,64791811.5,-40.0
1430000,High,106462005.0,130514182.0,18.4,82248234.5,-29.4,64791811.5,-64.3
1450000,High,179335540.0,130514182.0,-37.4,82248234.5,-118.0,64791811.5,-176.8
1470000,High,179335540.0,130514182.0,-37.4,82248234.5,-118.0,64791811.5,-176.8
1490000,High,559135034.0,130514182.0,-328.4,82248234.5,-579.8,64791811.5,-763.0
1510000,High,170115997.5,130514182.0,-30.3,82248234.5,-106.8,64791811.5,-162.6
1530000,High,68357035.5,130514182.0,47.6,82248234.5,16.9,64791811.5,-5.5
1550000,High,71315794.5,130514182.0,45.4,82248234.5,13.3,64791811.5,-10.1
1570000,High,71315794.5,130514182.0,45.4,82248234.5,13.3,64791811.5,-10.1
1590000,High,112176041.5,130514182.0,14.1,82248234.5,-36.4,64791811.5,-73.1
1610000,High,91995808.5,130514182.0,29.5,82248234.5,-11.9,64791811.5,-42.0
1630000,High,78017217.0,130514182.0,40.2,82248234.5,5.1,64791811.5,-20.4
1650000,High,90327796.5,130514182.0,30.8,82248234.5,-9.8,64791811.5,-39.4
1670000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1690000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1710000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1730000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1750000,High,61548866.5,130514182.0,52.8,82248234.5,25.2,64791811.5,5.0
1770000,High,62535747.0,130514182.0,52.1,82248234.5,24.0,64791811.5,3.5
1790000,High,68186378.5,130514182.0,47.8,82248234.5,17.1,64791811.5,-5.2
1810000,High,111677072.5,130514182.0,14.4,82248234.5,-35.8,64791811.5,-72.4
1830000,High,118843614.0,130514182.0,8.9,82248234.5,-44.5,64791811.5,-83.4
1850000,High,155061005.0,130514182.0,-18.8,82248234.5,-88.5,64791811.5,-139.3
1870000,High,156632924.0,130514182.0,-20.0,82248234.5,-90.4,64791811.5,-141.7
1890000,High,157985662.0,130514182.0,-21.0,82248234.5,-92.1,64791811.5,-143.8
1910000,High,179075099.5,130514182.0,-37.2,82248234.5,-117.7,64791811.5,-176.4
1930000,High,187428517.5,130514182.0,-43.6,82248234.5,-127.9,64791811.5,-189.3
1950000,High,531274429.0,130514182.0,-307.1,82248234.5,-545.9,64791811.5,-720.0
1970000,High,201630803.5,130514182.0,-54.5,82248234.5,-145.1,64791811.5,-211.2
1990000,High,992011520.5,130514182.0,-660.1,82248234.5,-1106.1,64791811.5,-1431.1
2010000,High,991197085.0,130514182.0,-659.5,82248234.5,-1105.1,64791811.5,-1429.8
2030000,High,989656539.5,130514182.0,-658.3,82248234.5,-1103.3,64791811.5,-1427.4
2050000,High,987323028.5,130514182.0,-656.5,82248234.5,-1100.4,64791811.5,-1423.8
2070000,High,987999104.5,130514182.0,-657.0,82248234.5,-1101.2,64791811.5,-1424.9
2090000,High,530362541.0,130514182.0,-306.4,82248234.5,-544.8,64791811.5,-718.6
2110000,High,199583242.5,130514182.0,-52.9,82248234.5,-142.7,64791811.5,-208.0
