steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
2300000,High,59976220.04,125614220.12,52.3,80649379.98,25.6,65152144.14,7.9
6000000,High,59761086.64,125614220.12,52.4,80649379.98,25.9,65152144.14,8.3
2300000,Low,2071405.6,14164693.22,85.4,6656885.94,68.9,4746950.14,56.4
6000000,Low,2298135.54,14164693.22,83.8,6656885.94,65.5,4746950.14,51.6
2300000,Medium,11253884.04,47089073.86,76.1,33688468.58,66.6,27585872.4,59.2
6000000,Medium,17032153.12,47089073.86,63.8,33688468.58,49.4,27585872.4,38.3
